City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,riyadh,24.6877,46.7219,28.08,13,6,3.69,SA,1687831784
83,soma,39.1855,27.6094,18.74,87,0,3.26,TR,1687832080
84,chonchi,-42.6128,-73.8092,7.29,94,100,1.36,CL,1687832080
85,aasiaat,68.7098,-52.8699,3.27,90,100,1.72,GL,1687832080
86,krivosheino,57.3431,83.9261,15.23,77,98,3.24,RU,1687832080
87,chui,-33.6971,-53.4616,15.77,97,100,3.01,UY,1687832080
88,bazarak,35.3129,69.5152,21.16,47,0,0.22,AF,1687832081
89,rongelap,11.1635,166.8941,28.24,82,41,8.65,MH,1687832081
90,howard springs,-12.497,131.047,30.46,48,97,2.97,AU,1687831793
91,sao vicente,-23.9631,-46.3919,24.59,26,0,1.51,BR,1687831908
92,duque de caxias,-22.7856,-43.3117,22.71,60,0,1.27,BR,1687831888
93,ashland,40.8167,-82.2665,18.95,97,14,4.95,US,1687832082
94,winslow,35.0242,-110.6974,33.1,11,0,9.26,US,1687832082
95,st. john's,47.5649,-52.7093,5.64,93,20,2.06,CA,1687832012
96,magong,23.5654,119.5863,28.44,76,6,2.1,TW,1687832036
97,longyearbyen,78.2186,15.6401,6.91,87,75,6.17,SJ,1687831794
98,gamba,-2.65,10.0,22.37,92,100,3.44,GA,1687832083
99,keflavik,64.0049,-22.5624,10.95,93,75,3.09,IS,1687832083
100,mili,6.0815,171.735,28.52,76,96,7.57,MH,1687832083
101,hadibu,12.65,54.0333,25.77,81,100,12.28,YE,1687832083
102,scottburgh,-30.2867,30.7532,16.13,87,29,2.98,ZA,1687832084
103,hamilton,39.1834,-84.5333,21.91,83,75,4.12,US,1687831796
104,aykhal,66.0,111.5,17.51,37,59,7.18,RU,1687832084
105,hermanus,-34.4187,19.2345,14.33,84,100,9.81,ZA,1687831796
106,college,64.8569,-147.8028,20.88,47,75,2.57,US,1687832084
107,dudinka,69.4058,86.1778,14.79,56,100,2.47,RU,1687832085
108,nuuk,64.1835,-51.7216,4.34,93,40,8.23,GL,1687831903
109,bandipura,34.4167,74.65,20.97,78,60,0.65,IN,1687831797
110,qaqortoq,60.7167,-46.0333,4.25,87,92,3.23,GL,1687832085
111,port elizabeth,-33.918,25.5701,15.05,94,100,2.24,ZA,1687831797
112,gamboma,-1.8764,15.8644,23.28,84,100,1.5,CG,1687832087
113,tura,25.5198,90.2201,24.53,92,100,2.46,IN,1687831418
114,kapiri mposhi,-13.9652,28.6809,8.55,73,5,2.17,ZM,1687831798
115,akrehamn,59.2667,5.1833,13.89,88,75,10.8,NO,1687832087
116,fort st. john,56.2499,-120.8529,22.85,66,100,1.14,CA,1687832088
117,petropavlovsk-kamchatsky,53.0452,158.6483,25.33,53,0,2.0,RU,1687831799
118,itamarandiba,-17.8572,-42.8589,15.93,93,85,1.18,BR,1687832088
119,katsuura,35.1333,140.3,23.84,89,100,1.69,JP,1687832088
120,pahrump,36.2083,-115.9839,32.36,11,0,3.13,US,1687831360
121,bredasdorp,-34.5322,20.0403,13.25,90,91,8.32,ZA,1687832089
122,hammerfest,70.6634,23.6821,9.25,100,75,5.14,NO,1687832089
123,puerto del rosario,28.5004,-13.8627,25.86,61,0,3.09,ES,1687832089
124,illela,13.7292,5.2975,28.86,47,89,3.4,NG,1687831800
125,calvinia,-31.4707,19.776,9.84,85,100,5.23,ZA,1687832090
126,chimbote,-9.0853,-78.5783,20.9,83,88,5.38,PE,1687831379
127,avarua,-21.2078,-159.775,26.03,78,0,2.57,CK,1687831872
128,hawaiian paradise park,19.5933,-154.9731,25.73,76,100,3.6,US,1687831801
129,puno,-15.8333,-70.0333,4.41,41,1,1.78,PE,1687832091
130,envira,-7.3,-70.2167,24.02,85,100,0.85,BR,1687831802
131,ahmadpur sial,30.6754,71.7483,30.76,59,23,2.09,PK,1687832091
132,siwa oasis,29.2041,25.5195,26.5,45,0,2.75,EG,1687832091
133,kungsbacka,57.4872,12.0761,16.21,82,100,8.94,SE,1687832091
134,san pedro,14.35,121.0167,31.29,79,40,3.13,PH,1687832092
135,the pas,53.8251,-101.2541,20.01,49,0,4.63,CA,1687832092
136,tazovsky,67.4667,78.7,9.2,71,100,1.36,RU,1687832092
137,tevriz,57.509,72.4042,13.63,77,100,4.08,RU,1687832092
138,ust-nera,64.5667,143.2,26.98,43,78,1.19,RU,1687831805
139,kidal,18.4411,1.4078,32.19,32,13,2.69,ML,1687832093
140,misratah,32.3754,15.0925,23.58,81,0,3.14,LY,1687832093
141,taltal,-25.4,-70.4833,17.06,75,0,1.75,CL,1687832093
142,twon-brass,4.3151,6.2418,25.08,87,100,5.02,NG,1687831806
143,rio gallegos,-51.6226,-69.2181,3.03,87,100,5.66,AR,1687832094
144,taroa,8.7058,171.2275,28.5,74,100,7.52,MH,1687831807
145,geraldton,-28.7667,114.6,11.23,71,0,4.63,AU,1687831908
146,bamboo flat,11.7,92.7167,30.05,79,75,4.12,IN,1687832094
147,pointe-noire,-4.7761,11.8635,21.37,95,40,2.79,CG,1687832095
148,tecamachalco,18.8833,-97.7333,16.3,72,50,2.82,MX,1687831818
149,thabazimbi,-24.5917,27.4116,11.71,40,0,1.3,ZA,1687831808
150,brak,27.5496,14.2714,28.28,29,0,4.87,LY,1687832095
151,ribeira grande,38.5167,-28.7,18.76,88,4,1.34,PT,1687832095
152,pilar,-9.5972,-35.9567,20.96,90,100,2.08,BR,1687831961
153,san jose del guaviare,2.5729,-72.6459,23.04,96,57,0.7,CO,1687832096
154,christchurch,-43.5333,172.6333,12.17,84,75,5.66,NZ,1687831210
155,port alfred,-33.5906,26.891,13.99,92,100,2.24,ZA,1687832096
156,impfondo,1.6381,18.0667,21.19,99,84,1.05,CG,1687832096
157,ifrane,33.3333,-5.25,22.2,20,0,7.57,MA,1687831809
158,peace river,56.2501,-117.286,24.17,60,75,4.12,CA,1687832097
159,soio,-6.1349,12.3689,20.89,93,26,3.26,AO,1687832097
160,atafu village,-8.5421,-172.5159,28.47,79,100,7.55,TK,1687832097
161,san antonio de pale,-1.4014,5.6325,24.06,80,0,3.31,GQ,1687832097
162,ghat,24.9647,10.1728,29.23,16,9,1.87,LY,1687832098
163,mbala,-8.8402,31.3659,10.79,84,5,3.02,ZM,1687832098
164,las tablas,7.7667,-80.2833,24.46,93,100,0.27,PA,1687831811
165,alofi,-19.0595,-169.9187,24.57,74,41,4.37,NU,1687831811
166,conceicao da barra,-18.5933,-39.7322,20.4,83,1,1.27,BR,1687832098
167,nur-sultan,51.1801,71.446,13.97,77,75,9.0,KZ,1687832099
168,cabo san lucas,22.8909,-109.9124,30.9,70,0,4.63,MX,1687831915
169,kingston,17.997,-76.7936,29.53,80,20,5.14,JM,1687831857
170,lorengau,-2.0226,147.2712,28.29,82,82,5.1,PG,1687831812
171,cidreira,-30.1811,-50.2056,18.96,82,0,2.42,BR,1687831813
172,laojunmiao,39.8333,97.7333,17.47,25,100,1.94,CN,1687832100
173,yuzhno-kurilsk,44.0306,145.8556,17.13,81,40,6.69,RU,1687832100
174,son la,21.3167,103.9,25.05,81,71,1.33,VN,1687832100
175,yanykurgan,43.915,67.2481,25.4,34,8,3.5,KZ,1687831814
176,gaigeturi,33.4644,126.3183,27.03,89,100,4.63,KR,1687832101
177,verkhnevilyuysk,63.4453,120.3167,19.1,42,29,3.47,RU,1687832101
178,emmett,43.8735,-116.4993,22.94,42,100,2.57,US,1687832101
179,labrador city,52.9463,-66.9114,14.95,63,75,5.14,CA,1687832101
180,as sulayyil,20.4607,45.5779,29.14,13,0,2.85,SA,1687832102
181,i-n-salah,27.1935,2.4607,32.25,27,65,2.37,DZ,1687832102
182,ketchikan,55.3422,-131.6461,17.26,82,100,3.6,US,1687831815
183,yreka,41.7354,-122.6345,27.1,28,0,9.77,US,1687832103
184,smithers,54.7804,-127.1743,25.18,41,40,4.63,CA,1687832103
185,bambanglipuro,-7.95,110.2833,26.3,77,99,3.76,ID,1687832103
186,viana do castelo,41.6932,-8.8329,18.16,85,0,4.39,PT,1687832103
187,beyneu,45.3167,55.2,22.59,31,5,1.65,KZ,1687832104
188,rio grande,-32.035,-52.0986,19.17,91,71,2.89,BR,1687831988
189,okakarara,-20.5833,17.4333,7.11,73,0,3.47,NA,1687831817
190,ilulissat,69.2167,-51.1,12.01,47,20,7.2,GL,1687832105
191,el calafate,-50.3408,-72.2768,0.88,96,100,1.06,AR,1687832105
192,lautoka,-17.6167,177.4667,25.92,53,75,3.6,FJ,1687832105
193,vilyuysk,63.7553,121.6247,17.94,43,90,3.35,RU,1687832105
194,guatrache,-37.6678,-63.5302,10.91,44,89,2.48,AR,1687832106
195,mount pearl,47.5166,-52.7813,5.18,92,20,2.06,CA,1687832106
196,santa elena de uairen,4.6167,-61.1333,20.01,94,100,1.49,VE,1687832106
197,whitehorse,60.7161,-135.0538,16.84,70,100,8.05,CA,1687832001
198,cabedelo,-6.9811,-34.8339,23.37,84,89,4.13,BR,1687832107
199,kem',64.9555,34.5793,13.69,79,96,3.29,RU,1687832107
200,alakurtti,66.9672,30.3491,13.25,92,86,0.93,RU,1687832107
201,grantsville,40.5999,-112.4644,27.52,19,0,1.54,US,1687832107
202,mahajanga,-15.7167,46.3167,20.02,68,75,2.94,MG,1687832107
203,gweru,-19.45,29.8167,6.97,44,0,2.74,ZW,1687832108
204,mokhsogollokh,61.4681,128.9203,22.28,81,100,0.7,RU,1687832108
205,puerto iguazu,-25.5991,-54.5736,18.62,84,0,2.06,AR,1687831821
206,bereznehuvate,47.3078,32.8499,14.12,85,0,3.17,UA,1687832109
207,invercargill,-46.4,168.35,10.85,85,18,0.44,NZ,1687832109
208,alushta,44.6667,34.4167,20.66,83,10,4.25,UA,1687832109
209,badger,64.8,-147.5333,20.84,46,75,2.57,US,1687832110
210,medea,36.2642,2.7539,20.17,27,0,1.18,DZ,1687832110
211,shingu,33.7333,135.9833,29.31,68,100,2.86,JP,1687832110
212,barras,-4.2444,-42.2944,24.23,76,77,0.63,BR,1687832110
213,kenai,60.5544,-151.2583,13.05,73,100,2.57,US,1687832111
214,gulf shores,30.246,-87.7008,29.21,77,0,3.09,US,1687831823
215,callao,-12.0667,-77.15,21.16,73,100,5.14,PE,1687831823
216,island harbour,50.724,-1.2758,16.07,83,91,2.83,GB,1687832111
217,touros,-5.1989,-35.4608,24.13,86,87,3.31,BR,1687831932
218,saint-pierre,-21.3393,55.4781,17.82,52,0,4.63,RE,1687832112
219,zalegoshch',52.9008,36.8869,12.63,95,100,6.13,RU,1687832112
220,meadow lakes,61.6247,-149.6011,15.69,71,100,3.09,US,1687832112
221,pontianak,-0.0333,109.3333,27.99,83,40,2.06,ID,1687832112
222,rawai,7.7797,98.3253,30.55,99,100,5.8,TH,1687832113
223,paracuru,-3.41,-39.0306,26.73,88,51,3.66,BR,1687832113
224,sirte,31.2089,16.5887,22.85,88,0,3.27,LY,1687831825
225,anadyr,64.75,177.4833,14.28,72,100,2.0,RU,1687832113
226,al bayda',32.7627,21.7551,18.17,95,64,4.04,LY,1687831825
227,jamestown,42.097,-79.2353,19.77,81,100,3.6,US,1687831911
228,lampazos de naranjo,27.0167,-100.5167,35.6,23,0,6.62,MX,1687832114
229,kudahuvadhoo,2.6708,72.8944,27.93,75,100,4.65,MV,1687832114
230,pudasjarvi,65.3833,26.9167,14.64,86,96,1.09,FI,1687832114
231,saldanha,-33.0117,17.9442,13.03,87,100,3.37,ZA,1687832115
232,east london,-33.0153,27.9116,15.44,85,100,7.57,ZA,1687832115
233,hola,51.5377,23.1902,17.1,100,100,2.61,PL,1687832115
234,acarau,-2.8856,-40.12,24.88,83,26,5.24,BR,1687832115
235,oboyan',51.2098,36.2792,12.22,99,100,3.11,RU,1687832116
236,at taj,24.2049,23.2857,26.91,26,0,4.35,LY,1687832116
237,tomarza,38.4472,35.7992,8.8,62,2,1.04,TR,1687831828
238,broome,42.2506,-75.833,20.51,90,100,1.34,US,1687832116
239,uturoa,-16.7333,-151.4333,27.22,70,0,6.77,PF,1687832116
240,buala,-8.145,159.5921,27.99,67,58,5.5,SB,1687831829
241,truckee,39.328,-120.1833,19.76,57,30,1.34,US,1687832117
242,igarka,67.4667,86.5833,13.48,58,7,3.58,RU,1687832117
243,mount gambier,-37.8333,140.7667,9.35,98,100,2.94,AU,1687832117
244,bikenibeu village,1.3673,173.1241,29.98,79,75,1.03,KI,1687832117
